
Lower Haze,Upper Haze,Lower SSA,Upper SSA,Lower Gas,Upper Gas,Model Output µ1+µ2 Value,Darkened or Brightened,Usable
0.01,1,0,0,0,0,-4.499381434,Brightened,yes
0.01,1,0.01,0,0,0,-4.478802308,Brightened,yes
0.01,0.5,0,0,0,0,-4.456496493,Brightened,yes
0.01,0.5,0,0,0,0.01,-4.360423562,Brightened,yes
0.01,0.1,0,0,0.1,0.01,-4.334940451,Brightened,yes
0.01,0.5,0.01,0,0,0,-4.296633216,Brightened,yes
0.01,0.1,0,0,0,0,-4.295528389,Brightened,yes
0.01,0.1,0,0,0,0.01,-4.213021808,Brightened,yes
0.01,1,0,0,0,0.01,-4.067648239,Brightened,yes
0.01,0.1,0.01,0,0,0,-4.055382481,Brightened,yes
0.01,1,0,0.01,0.1,0,-4.004408598,Brightened,yes
0.01,0.1,0.01,0,0.1,0.01,-3.900756139,Brightened,yes
0.01,0.1,0.01,0,0,0.01,-3.897037653,Brightened,yes
0.01,1,0.01,0,0,0.01,-3.856434817,Brightened,yes
0.01,1,0,0.01,0.1,0.01,-3.823091265,Brightened,yes
0.1,1,0,0,0,0,-3.794172048,Brightened,yes
0,0,0.01,0.01,1,0,-3.785677471,Brightened,yes
0.01,1,0.01,0.01,0.1,0,-3.782909161,Brightened,yes
0.01,1,0,0.01,0.5,0,-3.760084552,Brightened,yes
0.01,1,0.01,0.01,0.01,0.01,-3.701318258,Brightened,yes
0.01,0.5,0,0.01,0.5,0.01,-3.694229738,Brightened,yes
0.01,1,0,0.01,0.5,0.01,-3.675670176,Brightened,yes
0.01,1,0.01,0.01,1,0,-3.667286687,Brightened,yes
0.01,0.5,0,0.01,1,0.01,-3.626243538,Brightened,yes
0,0,0,0.01,0.5,0,-3.596699144,Brightened,yes
0.01,0.1,0.01,0.01,1,0,-3.590608392,Brightened,yes
0.01,0.5,0.01,0,0,0.01,-3.57559279,Brightened,yes
0,0,0,0.01,0.5,0.01,-3.560982317,Brightened,yes
0,0,0,0.01,0.1,0,-3.534231614,Brightened,yes
0,0.1,0.01,0.01,0.1,0,-3.530045037,Brightened,yes
0.01,1,0.01,0.01,0.1,0.01,-3.513278447,Brightened,yes
0.01,0.1,0.01,0.01,0.1,0,-3.488245623,Brightened,yes
0.01,1,0.01,0.01,0.5,0,-3.475473209,Brightened,yes
0,0,0.01,0.01,0.5,0,-3.472771398,Brightened,yes
0,0,0,0.01,1,0,-3.463299358,Brightened,yes
0.1,0.5,0,0,0,0,-3.459859509,Brightened,yes
0.01,0.5,0.01,0.01,1,0,-3.443873695,Brightened,yes
0.01,1,0,0.01,1,0,-3.436420375,Brightened,yes
0.01,1,0.01,0.01,1,0.01,-3.426166551,Brightened,yes
0.01,0.5,0,0.01,0.5,0,-3.418492943,Brightened,yes
0.01,0.5,0,0.01,1,0,-3.417476379,Brightened,yes
0.01,1,0.01,0.01,0.5,0.01,-3.411995591,Brightened,yes
0.01,0.1,0.1,0.01,1,0.01,-3.403308331,Brightened,yes
0,0,0.01,0.01,0.1,0,-3.378222041,Brightened,yes
0.01,0.1,0,0.01,0.1,0.01,-3.36491475,Brightened,yes
0,0,0,0.01,1,0.01,-3.36269685,Brightened,yes
0.01,0.5,0.01,0.01,0.5,0.01,-3.350186575,Brightened,yes
0.01,0.1,0,0.01,1,0,-3.347368445,Brightened,yes
0.01,0.1,0,0.01,1,0.01,-3.336351215,Brightened,yes
0.01,0.1,0,0.01,0.1,0,-3.336075826,Brightened,yes
0.01,0.5,0.01,0.01,0.5,0,-3.327689931,Brightened,yes
0.01,0.1,9.99,0.01,0.1,0.01,-3.325869171,Brightened,yes
0.01,0.5,0.1,0.01,1,0.01,-3.297752583,Brightened,yes
0.01,0.5,0.01,0.01,1,0.01,-3.292150567,Brightened,yes
0.01,0.01,0.01,0.01,1,0.01,-3.283977061,Brightened,yes
0,0,0.01,0.01,0.5,0.01,-3.278603489,Brightened,yes
0.01,0.1,0.1,0.01,0.1,0.01,-3.260863423,Brightened,yes
0.01,0.5,9.99,0.01,1,0.01,-3.255669847,Brightened,yes
0.1,1,0.01,0.01,1,0.01,-3.244129292,Brightened,yes
0.1,0.1,0.01,0.01,1,0.01,-3.233476044,Brightened,yes
0.01,1,0.1,0.01,1,0.01,-3.225771524,Brightened,yes
0.01,0.1,1,0.01,1,0.01,-3.223205022,Brightened,yes
0.1,0.1,0,0,0,0,-3.190167898,Brightened,yes
0.1,1,0.01,0.01,0.5,0.01,-3.188769262,Brightened,yes
