key,entry_type,title,authors,container_title,publication_year,doi,stable_identifier,source_url,local_pdf_path,local_markdown_path,conversion_status,access_status,relevance,verification_notes,pdf_sha256,pdf_pages,markdown_pages,text_characters
vashist2023titan,article,Titan’s North--South Haze Asymmetry Ratio and Boundary at Visible Wavelengths over the Cassini Mission,"Vashist, Aadvik S and Heslar, Michael F and Barnes, Jason W and Hennen, Corbin and Lorenz, Ralph D",The Planetary Science Journal,2023,10.3847/PSJ/acdd05,doi:10.3847/PSJ/acdd05,https://doi.org/10.3847/PSJ/acdd05,data/papers/vashist2023titan.pdf,data/papers-md/vashist2023titan.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,f4d43235ba0c63ae9422e3fd385f051d9980eb6942cdd02b81fb7ab7e5a6caa0,12,12,60961
karkoschka2016seasonal,article,Seasonal variation of Titan’s haze at low and high altitudes from HST-STIS spectroscopy,"Karkoschka, Erich",Icarus,2016,10.1016/j.icarus.2015.07.007,doi:10.1016/j.icarus.2015.07.007,https://doi.org/10.1016/j.icarus.2015.07.007,data/papers/karkoschka2016seasonal.pdf,data/papers-md/karkoschka2016seasonal.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,176f735ca657e7fb66c0dabb3fb80869a7f4742a89918a2aff1e265d0c831a2e,63,63,94913
kutsop2022titan,article,Titan Stratospheric Haze Bands Observed in Cassini VIMS as Tracers of Meridional Circulation,"Kutsop, NW and Hayes, AG and Corlies, PM and Le Mou{\'e}lic, S and Lunine, JI and Nixon, CA and Rannou, P and Rodriguez, S and Roman, MT and Sotin, C and others",The Planetary Science Journal,2022,10.3847/PSJ/ac582d,doi:10.3847/PSJ/ac582d,https://doi.org/10.3847/PSJ/ac582d,data/papers/kutsop2022titan.pdf,data/papers-md/kutsop2022titan.md,validated,local_pdf,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,f4a51aaacb0f83fbf3f1abef0c9f676dea8e161bf34c622fc20fb8724f5cc574,29,29,176348
tokano2007near,article,Near-surface winds at the Huygens site on Titan: interpretation by means of a general circulation model,"Tokano, Tetsuya",Planetary and Space Science,2007,10.1016/j.pss.2007.04.011,doi:10.1016/j.pss.2007.04.011,https://doi.org/10.1016/j.pss.2007.04.011,data/papers/tokano2007near.pdf,data/papers-md/tokano2007near.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,ce23968c54ff4d7d000df02625d6bfd7fbd31eea481dc5182ab745198590c739,20,20,130954
lebonnois2014general,inbook,The general circulation of Titan's lower and middle atmosphere,"Lebonnois, S{\'e}bastien and Flasar, F Michael and Tokano, Tetsuya and Newman, CE",Titan,2014,,project-bibkey:lebonnois2014general,,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,,,,
robinson2014titan,article,Titan solar occultation observations reveal transit spectra of a hazy world,"Robinson, Tyler D and Maltagliati, Luca and Marley, Mark S and Fortney, Jonathan J",Proceedings of the National Academy of Sciences,2014,10.1073/pnas.1403473111,doi:10.1073/pnas.1403473111,https://doi.org/10.1073/pnas.1403473111,data/papers/robinson2014titan.pdf,data/papers-md/robinson2014titan.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,eaba8dca47ad51f3fc3683ed7bfa3e4178f4acdb1d5ec683d79860a1c5196f86,6,6,57018
rannou2002wind,article,{A wind origin for Titan's haze structure},"{Rannou}, P. and {Hourdin}, F. and {McKay}, C.~P.",\nat,2002,,http://adsabs.harvard.edu/abs/2002Natur.418..853R,http://adsabs.harvard.edu/abs/2002Natur.418..853R,data/papers/rannou2002wind.pdf,data/papers-md/rannou2002wind.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,7682dcf70712051005e8ff4d87729afdc6e8cf304ac6c6ba1bf53872b91c3911,4,4,47330
seignovert2021haze,article,Haze seasonal variations of Titan’s upper atmosphere during the Cassini Mission,"Seignovert, Beno{\^\i}t and Rannou, Pascal and West, Robert A and Vinatier, Sandrine",The Astrophysical Journal,2021,10.3847/1538-4357/abcd3b,doi:10.3847/1538-4357/abcd3b,https://doi.org/10.3847/1538-4357/abcd3b,data/papers/seignovert2021haze.pdf,data/papers-md/seignovert2021haze.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,758280991b4631e58a49fad30f075446f6a9b9427727885c767b77e1a3b4afdf,17,17,100562
brown2004cassini,article,The Cassini visual and infrared mapping spectrometer (VIMS) investigation,"Brown, Robert H and Baines, Kevin H and Bellucci, G and Bibring, J-P and Buratti, Bonnie J and Capaccioni, F and Cerroni, P and Clark, Roger N and Coradini, Angioletta and Cruikshank, Dale P and others",Space Science Reviews,2004,10.1007/s11214-004-1453-x,doi:10.1007/s11214-004-1453-x,https://doi.org/10.1007/s11214-004-1453-x,data/papers/brown2004cassini.pdf,data/papers-md/brown2004cassini.md,validated,local_pdf,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,33c5264a546ce7f8e4da0916620ffe02370cd62aeb6db49d329a8f4ac97d2018,58,58,142990
smith1982new,article,A new look at the Saturn system: The Voyager 2 images,"Smith, Bradford A and Soderblom, Laurence and Batson, Raymond and Bridges, Patricia and Inge, JAY and Masursky, Harold and Shoemaker, Eugene and Beebe, Reta and Boyce, Joseph and Briggs, Geoffrey and others",Science,1982,,project-bibkey:smith1982new,,data/papers/smith1982new.pdf,data/papers-md/smith1982new.md,validated,local_pdf,Method context: limb-darkening model or fitting background.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,5deaf46febc863863a36c7b84b01281076f8708f7ead26d712b06e032d41c411,34,34,287630
