input1,input2,input3,input4,input5,input6,output,usable
0.0,0.1,1.0,0.01,0.01,0.5,-2.169467725495243,True
1.0,0.1,0.1,0.01,0.1,1.0,-2.7969344177083832,True
2.0,1.0,1.0,1.0,1.0,1.0,0.14790721921660618,True
3.0,1.0,1.0,1.0,9.99,0.5,0.08730388389771777,True
4.0,1.0,1.0,1.0,0.1,1.0,0.03740456828862307,True
5.0,0.0,0.0,0.0,0.0,1.0,-1.215015638776646,False
6.0,0.1,0.1,0.01,0.1,0.1,-3.6420763440858672,True
7.0,0.01,0.5,1.0,1.0,0.5,0.10590008258388602,True
8.0,1.0,0.5,1.0,1.0,0.01,0.4358530889764112,True
9.0,0.1,1.0,0.01,0.01,0.5,-5.650968491278762,True
10.0,0.01,0.5,9.99,0.01,1.0,-6.525743089097682,True
11.0,0.1,1.0,0.1,0.1,5.0,-2.8266836810031495,True
12.0,0.01,0.5,0.01,0.01,0.5,-0.2107709068380479,False
13.0,0.1,0.1,0.01,0.1,1.0,-4.480284480116586,True
14.0,0.0,0.0,0.0,9.99,0.5,0.27694225090413715,True
15.0,1.0,0.01,0.01,0.01,1.0,-5.971554376960167,True
16.0,0.1,0.1,0.01,0.1,0.1,-2.3043760943777554,True
17.0,1.0,1.0,1.0,1.0,0.1,0.041330888121356615,True
18.0,1.0,1.0,1.0,0.1,0.1,0.5579428687853292,True
19.0,0.1,1.0,0.1,0.0,0.0,-3.549960423396194,True
20.0,9.99,0.5,0.01,0.01,1.0,-0.4004514391312152,True
21.0,9.99,0.5,9.99,0.01,0.5,0.07837320719961949,False
22.0,0.1,1.0,0.1,9.99,0.1,0.06092913567706226,True
23.0,1.0,1.0,0.1,1.0,1.0,0.17880936722526022,True
24.0,9.99,0.5,9.99,9.99,0.5,0.2754667230384758,True
25.0,9.99,0.1,0.01,0.01,0.1,0.6659956373303577,False
26.0,9.99,0.1,1.0,1.0,1.0,0.1390665121868554,True
27.0,1.0,1.0,0.1,9.99,0.5,0.07745208501318579,True
28.0,1.0,0.1,1.0,1.0,0.1,-0.09285198054507005,True
29.0,0.1,0.5,9.99,0.1,0.5,-2.6977030062173966,True
30.0,0.01,1.0,0.01,0.1,1.0,-2.881003091210813,True
31.0,1.0,1.0,0.1,0.1,1.0,0.1974450136028021,True
32.0,0.01,0.01,1.0,0.01,1.0,-0.2462927127075911,False
33.0,0.01,1.0,0.01,1.0,0.1,-0.10187463024349058,True
34.0,9.99,1.0,9.99,0.1,1.0,-1.149251506983259,True
35.0,1.0,0.5,0.1,1.0,0.01,0.6170577746293964,True
36.0,0.01,0.1,9.99,0.01,0.1,0.7617884139733608,False
37.0,0.5,1.0,0.1,0.01,1.0,0.35433931746308733,True
38.0,0.01,1.0,0.01,0.1,0.1,-4.325917288386625,True
39.0,9.99,1.0,0.0,0.0,0.0,-0.7267143826379661,True
40.0,0.01,1.0,0.01,1.0,1.0,0.25143979282989837,True
41.0,9.99,1.0,9.99,0.1,0.1,0.8569722016410919,True
42.0,0.1,0.5,0.1,0.1,0.5,-3.913266021746128,True
43.0,0.01,1.0,0.01,0.1,1.0,-4.972272113592385,True
44.0,9.99,0.5,0.1,9.99,0.5,0.25554247437036826,True
45.0,0.01,0.1,9.99,0.01,1.0,-0.5371547735830864,False
46.0,1.0,0.5,9.99,9.99,0.5,0.22905593033203137,True
47.0,9.99,0.1,0.01,0.01,1.0,0.27095399323317504,False
48.0,1.0,1.0,0.1,1.0,0.1,0.06301232380138916,True
49.0,0.1,1.0,0.1,9.99,1.0,0.549916491804339,True
50.0,1.0,1.0,0.1,0.1,0.1,0.7506738175332197,True
